condition,region_label,layer,mean_attention_to_region,sem_attention_to_region,ci95_low,ci95_high,n
suppressed_indirect,indirect_description,0,0.03739663583154928,0.0005496189791942473,0.036288765480189944,0.03843654385102887,4352
suppressed_indirect,indirect_description,1,0.012304818180723487,0.00016892292094180102,0.011972979208236638,0.012643624631560362,4352
suppressed_indirect,indirect_description,2,0.0054594589223307234,8.846892631799907e-05,0.005283330787059337,0.005642550863700014,4352
suppressed_indirect,indirect_description,3,0.014031689841832465,0.00019798876384361254,0.01363588980129126,0.014418835881958652,4352
suppressed_indirect,indirect_description,4,0.019492014215395956,0.0002400307392908516,0.019024259612401926,0.01993670636784657,4352
suppressed_indirect,indirect_description,5,0.01636776695401168,0.0002345721454334136,0.01588478555525581,0.01680680565570785,4352
suppressed_indirect,indirect_description,6,0.02476528634524049,0.0002909628213735748,0.02419730319148444,0.02534988890796947,4352
suppressed_indirect,indirect_description,7,0.02525293222150621,0.00029442734860094416,0.02467588972988558,0.02584881030230322,4352
suppressed_indirect,indirect_description,8,0.028093178060296795,0.0003417199901953135,0.027436301160801355,0.028758663859430808,4352
suppressed_indirect,indirect_description,9,0.02938020147981286,0.0003430385139144617,0.028717313835646255,0.03003561328753723,4352
suppressed_indirect,indirect_description,10,0.026162435356445045,0.0003426837529966709,0.02550872254178445,0.026804224275676095,4352
suppressed_indirect,indirect_description,11,0.02630039191487466,0.00031280827878757395,0.025706003201718,0.026892418632495294,4352
suppressed_indirect,indirect_description,12,0.047563922828457554,0.0004251301480385852,0.046725285218838716,0.0483840360235771,4352
suppressed_indirect,indirect_description,13,0.03500522463951604,0.0003320391414641837,0.03432331513388229,0.03563577635022739,4352
suppressed_indirect,indirect_description,14,0.038627350519056886,0.0004196007026668229,0.03784194810830554,0.039475893221669243,4352
suppressed_indirect,indirect_description,15,0.036684654397156596,0.0004487031483195358,0.03583823896233816,0.03754759500437451,4352
suppressed_indirect,indirect_description,16,0.02623276550126347,0.0003774244337496151,0.025456560932360615,0.02697212391784075,4352
suppressed_indirect,indirect_description,17,0.021874429769548655,0.0003103982969402955,0.021270463399067262,0.022512865347232156,4352
suppressed_indirect,indirect_description,18,0.013139295545917829,0.0002048354024469928,0.012756477888950714,0.013540511188609163,4352
suppressed_indirect,indirect_description,19,0.010870736098494864,0.00022944794605393184,0.010437073634326185,0.011341892818409647,4352
suppressed_indirect,indirect_description,20,0.014577059114264343,0.00024470277987807674,0.014107347470566953,0.01504353715446648,4352
suppressed_indirect,indirect_description,21,0.01887780367520891,0.0002842951136585866,0.01832287317902537,0.019426675626898936,4352
suppressed_indirect,indirect_description,22,0.012046018954462771,0.00022923790866567767,0.0116236181231886,0.012510024256340055,4352
suppressed_indirect,indirect_description,23,0.010599121893733354,0.00014795075198760924,0.010288298737224763,0.010888571456308432,4352
suppressed_indirect,indirect_description,24,0.008615863933952743,0.0001545209507170328,0.008323108033935381,0.008915757823698179,4352
suppressed_indirect,indirect_description,25,0.008970900088117413,0.00015256348074712132,0.008684199767563721,0.009263323356104537,4352
suppressed_indirect,indirect_description,26,0.015489616350788871,0.0002753193774687837,0.014971360509987285,0.01604671023081624,4352
suppressed_indirect,indirect_description,27,0.012912567224515548,0.00021529921631171579,0.01248526684918637,0.013334780038338365,4352
suppressed_indirect,indirect_description,28,0.021767456694506644,0.00028459798831232514,0.021208141394783175,0.022320468976673336,4352
suppressed_indirect,indirect_description,29,0.013285463658355505,0.0002533497328649046,0.01281070583995977,0.013795514120174095,4352
suppressed_indirect,indirect_description,30,0.02394830359351625,0.000352423847620255,0.02328814316866114,0.024614216892700325,4352
suppressed_indirect,indirect_description,31,0.03074803326065274,0.0005062853207665119,0.029778043332259037,0.031733933027178425,4352
mentioned,target_alias,0,0.013303789728927878,0.0002909987530735351,0.012718062053952822,0.01385800847298905,4128
mentioned,target_alias,1,0.006822624655846324,0.00011870277431010023,0.006599105054238658,0.007047474271454111,4128
mentioned,target_alias,2,0.003325572095800063,6.212357902319137e-05,0.003204987437424825,0.0034466603196788323,4128
mentioned,target_alias,3,0.008586388862264963,0.0001637980383726546,0.008269165071610834,0.008916737569317648,4128
mentioned,target_alias,4,0.011977082599289077,0.00019798322868108052,0.01161290758539194,0.012369919758112144,4128
mentioned,target_alias,5,0.010132646935285407,0.00017241722623506092,0.009807768044024938,0.010474757696945109,4128
mentioned,target_alias,6,0.014763075288616066,0.000254731003186933,0.014247036816979829,0.015261008438961625,4128
mentioned,target_alias,7,0.01729138892510879,0.00026781372842569904,0.016795892534625986,0.017813425003573476,4128
mentioned,target_alias,8,0.016561674636172693,0.0002110354866128556,0.016169395140487305,0.01696704205509511,4128
mentioned,target_alias,9,0.01787237550601022,0.00020385638180771807,0.0174504489158664,0.01826927013638809,4128
mentioned,target_alias,10,0.01786827968584292,0.0003015344857173306,0.017270590414062207,0.01847582717111327,4128
mentioned,target_alias,11,0.0152395040105578,0.0002082025512292136,0.014840771743354695,0.015652022976193492,4128
mentioned,target_alias,12,0.024073587878979022,0.00025098841708529567,0.023591174105652944,0.0245764470545721,4128
mentioned,target_alias,13,0.020978022419329546,0.00022772125780086048,0.020527962325971996,0.021426458842448173,4128
mentioned,target_alias,14,0.021165404776169905,0.0002281049170793471,0.020707382367859385,0.02160570950624555,4128
mentioned,target_alias,15,0.020360268334472013,0.0002938620042345492,0.019805630203237775,0.020892662268079135,4128
mentioned,target_alias,16,0.015880286190477894,0.0002686884094937728,0.015382797202081844,0.016392776063666018,4128
mentioned,target_alias,17,0.012099028103064962,0.0001799607606282843,0.011755275412641215,0.012450362744611587,4128
mentioned,target_alias,18,0.006949695421825208,0.00011892574849425508,0.0067130295643871895,0.007182409566975764,4128
mentioned,target_alias,19,0.006551429280205045,0.00015368882179626341,0.006257049385254863,0.006851505606478699,4128
mentioned,target_alias,20,0.00805415363059768,0.00016148482043122674,0.007745777956759503,0.008374380588670929,4128
mentioned,target_alias,21,0.00925130366174727,0.00015617823239168715,0.008961946114386138,0.009549724918486014,4128
mentioned,target_alias,22,0.005811657983039995,0.00011136007676010648,0.005595102908474718,0.006023212076587073,4128
mentioned,target_alias,23,0.005199500419096221,8.522230648125271e-05,0.0050306382151656314,0.005371154752247217,4128
mentioned,target_alias,24,0.004752222074897901,9.136662970399898e-05,0.004573410911672711,0.004932449397736494,4128
mentioned,target_alias,25,0.0047005314861560815,9.358821051994203e-05,0.004524535218010879,0.004886645770389089,4128
mentioned,target_alias,26,0.008390304605668919,0.00016924762902104993,0.008058482900991499,0.008702945549999612,4128
mentioned,target_alias,27,0.007550889265929058,0.00013560199056147443,0.007301819502932567,0.007809563230265377,4128
mentioned,target_alias,28,0.011426619369354006,0.00017127654229697918,0.011104422171570502,0.011750345464010688,4128
mentioned,target_alias,29,0.007571719289599553,0.00013676993682745523,0.007313962652571273,0.007833308227164555,4128
mentioned,target_alias,30,0.011887040549344271,0.00017067418404084067,0.01156977015897594,0.012212996746787339,4128
mentioned,target_alias,31,0.014149528356062384,0.0002522458064851942,0.01366679708650274,0.014676699746939638,4128
suppressed,target_alias,0,0.011650074295758827,0.0002583515205819328,0.011135625430059979,0.012153906614195515,4128
suppressed,target_alias,1,0.0051261094175258275,0.00010568160106753684,0.004925098745543578,0.005327969210628988,4128
suppressed,target_alias,2,0.0020565700137616,4.8375717258410885e-05,0.0019667370726671575,0.0021519515087475975,4128
suppressed,target_alias,3,0.00542791179743445,0.00010374145156539469,0.005224460918092053,0.0056334225408555755,4128
suppressed,target_alias,4,0.008213107871163862,0.00013393992912576587,0.007975374014334779,0.008472298778536263,4128
suppressed,target_alias,5,0.006649388275909172,0.00013556124812084602,0.0063990347476490465,0.00692430849631419,4128
suppressed,target_alias,6,0.009447478825409623,0.00016279549276308435,0.009129225241566709,0.009771536705046638,4128
suppressed,target_alias,7,0.011084470344982502,0.00018229657011450395,0.01074653014618249,0.011427649848387544,4128
suppressed,target_alias,8,0.01325959404415656,0.0002494834857218465,0.012785336255866565,0.013745435853727117,4128
suppressed,target_alias,9,0.014350761913241753,0.0002301605232585953,0.01390934436488848,0.01479629105112998,4128
suppressed,target_alias,10,0.013819519218766927,0.0002531220649615993,0.013342895124007251,0.014323332917345269,4128
suppressed,target_alias,11,0.012758248522822419,0.00020332685032029997,0.012341885222698792,0.01317899012271743,4128
suppressed,target_alias,12,0.0252397718051175,0.00035543398054375865,0.024542852793481083,0.02599181504917869,4128
suppressed,target_alias,13,0.01772645486149246,0.00020810351476026058,0.01729510805251957,0.01815186838684084,4128
suppressed,target_alias,14,0.02039720374159515,0.00030809895654176905,0.019771079999556195,0.021000196718144907,4128
suppressed,target_alias,15,0.017906285503208223,0.00027672365812939006,0.017380723703147995,0.01841994057775103,4128
suppressed,target_alias,16,0.0129181635156131,0.00025246643735518166,0.012434922728715271,0.013421797821943011,4128
suppressed,target_alias,17,0.01019436472022282,0.0001748343263840777,0.009848816280815782,0.010537641645009282,4128
suppressed,target_alias,18,0.0061695654267838506,0.00011961474424189497,0.005946203809063958,0.006405459124430344,4128
suppressed,target_alias,19,0.005999407347173981,0.00016283261780702547,0.005689647235408918,0.006325709378493785,4128
suppressed,target_alias,20,0.007441009009593571,0.00016494267948795782,0.007135081174254809,0.007773430788505043,4128
suppressed,target_alias,21,0.0079310472750759,0.00016877471216517813,0.0076157145033528585,0.00824651538677463,4128
suppressed,target_alias,22,0.004920048367126555,0.00011149411436871701,0.004703393375387503,0.005147357773737378,4128
suppressed,target_alias,23,0.0038564261911959376,8.245798275392618e-05,0.003690129604298409,0.004018217716859788,4128
suppressed,target_alias,24,0.0035202003016030887,8.402605886014735e-05,0.003360729053143629,0.0036897456464953914,4128
suppressed,target_alias,25,0.004062874503939532,8.81940246075434e-05,0.0039006599445959487,0.0042342206744210836,4128
suppressed,target_alias,26,0.007463631282005792,0.00017808937474083218,0.00711305224910122,0.007805004778804796,4128
suppressed,target_alias,27,0.007387215349395358,0.00015896969341087862,0.007083646592644292,0.007704331747116544,4128
suppressed,target_alias,28,0.009750165333917551,0.0001729646123901542,0.009427777465086317,0.01008341034103626,4128
suppressed,target_alias,29,0.007075954263838458,0.00016126753053937603,0.006776191164463455,0.007389456210478417,4128
suppressed,target_alias,30,0.010486330503355451,0.00019858762249317586,0.010113592869782377,0.010882525377792482,4128
suppressed,target_alias,31,0.014089145218430665,0.0002738382995644417,0.013548329465117795,0.014650520978847534,4128
unrelated_suppression,target_alias,0,0.011532078665067554,0.0010483915871197943,0.009561663667646558,0.013701669337583754,224
unrelated_suppression,target_alias,1,0.005862483769825693,0.0004237070134539603,0.005055242202005112,0.006720189331034427,224
unrelated_suppression,target_alias,2,0.0031286787861861043,0.00024441405284492796,0.0026688877241812445,0.0036069964716107603,224
unrelated_suppression,target_alias,3,0.008632070078290002,0.0004898194530718002,0.007719129894485377,0.009639214806416671,224
unrelated_suppression,target_alias,4,0.009143138812370515,0.0005324652704161726,0.008114257890987834,0.010266219732979412,224
unrelated_suppression,target_alias,5,0.009235942783862226,0.0005728440842440772,0.008177406135069783,0.010363149259624395,224
unrelated_suppression,target_alias,6,0.00971178865256661,0.0005440970572119435,0.008678072959095775,0.01080978618566795,224
unrelated_suppression,target_alias,7,0.011959492182281142,0.0006124307392358857,0.010775099544574524,0.013168770229513679,224
unrelated_suppression,target_alias,8,0.01358800930081218,0.000501910028428638,0.012650475235217788,0.01454942263985036,224
unrelated_suppression,target_alias,9,0.014600593546804572,0.0005502421494048459,0.013574022777330746,0.01570843886682789,224
unrelated_suppression,target_alias,10,0.012454464248938686,0.0007202996863018493,0.01107722086493855,0.013824417611457257,224
unrelated_suppression,target_alias,11,0.014240815142589522,0.0005906743715640466,0.013128097170907235,0.015374822213120101,224
unrelated_suppression,target_alias,12,0.016398356547662325,0.0005139846250697148,0.015433863937557493,0.017394902438952288,224
unrelated_suppression,target_alias,13,0.014689824325614609,0.0006622704942664509,0.013425543689559814,0.01597256743293006,224
unrelated_suppression,target_alias,14,0.013392759324882977,0.00045761689258386684,0.01249952135658532,0.014279647238618054,224
unrelated_suppression,target_alias,15,0.012808454844811681,0.0006886595246439537,0.011445788518104955,0.014257668725323518,224
unrelated_suppression,target_alias,16,0.012462467149362055,0.0008726505472316222,0.010860952128081991,0.01430260950495332,224
unrelated_suppression,target_alias,17,0.009925478443749722,0.0005365622959509063,0.008882576867014385,0.01099012157747958,224
unrelated_suppression,target_alias,18,0.006859463520803339,0.0004550655598581095,0.006031776192701597,0.007787339487744508,224
unrelated_suppression,target_alias,19,0.00496303771348851,0.0004103120201723208,0.004215505728609514,0.005804829616616709,224
unrelated_suppression,target_alias,20,0.007031894070938246,0.0004210971387488429,0.0062332076521345574,0.007911491686770335,224
unrelated_suppression,target_alias,21,0.009480515489940444,0.0005604620900910604,0.008399842080608065,0.010600203523584437,224
unrelated_suppression,target_alias,22,0.0070789962624076,0.000540364975595419,0.006051863390554704,0.008167773026163365,224
unrelated_suppression,target_alias,23,0.005403422302281667,0.0004842534678592471,0.004506328468629103,0.0063561727767786815,224
unrelated_suppression,target_alias,24,0.004916676292396005,0.0003705150107077036,0.004224670370089305,0.005648739639012287,224
unrelated_suppression,target_alias,25,0.004616287867195622,0.0003707382073686798,0.003945053923799995,0.0053959435063851355,224
unrelated_suppression,target_alias,26,0.007474201202837451,0.0004626872402256661,0.006571989246075256,0.008369941005191452,224
unrelated_suppression,target_alias,27,0.00586700804186486,0.00037755143397834144,0.005143464938568546,0.006596210228618863,224
unrelated_suppression,target_alias,28,0.007409923144613069,0.0004402151241595164,0.006554285404977885,0.008267136277312861,224
unrelated_suppression,target_alias,29,0.006121171296139697,0.0004035706638580542,0.005383526204085293,0.006969849657603584,224
unrelated_suppression,target_alias,30,0.01091597326558258,0.0004988697944706154,0.009926256508067256,0.011865514364405628,224
unrelated_suppression,target_alias,31,0.010634292194611459,0.0006549352686819772,0.00931978116619965,0.01197360303192129,224
