concept,context,layer,absent,mentioned,suppressed_indirect,delta_mentioned_minus_absent,delta_suppressed_indirect_minus_absent
alcohol,Describe a bar menu.,0,0.9099200577335042,0.9564392368087669,0.97135235886339,0.04651917907526271,0.06143230112988585
alcohol,Describe a bar menu.,1,0.6547843798468747,0.9569022589009234,0.7132826028885827,0.30211787905404874,0.05849822304170804
alcohol,Describe a bar menu.,2,0.6877785131945036,0.9572199654271513,0.7083149832604034,0.2694414522326477,0.02053647006589987
alcohol,Describe a bar menu.,3,0.6689583842152306,0.9519429071109892,0.7330668035629532,0.2829845228957586,0.0641084193477226
alcohol,Describe a bar menu.,4,0.7789642168452829,0.9321924783868347,0.6747428329796913,0.15322826154155178,-0.10422138386559165
alcohol,Describe a bar menu.,5,0.8148318361141119,0.865517664519921,0.3793793369258019,0.05068582840580904,-0.43545249918831
alcohol,Describe a bar menu.,6,0.8667650380068745,0.9224436196415668,0.3087087375958539,0.055678581634692303,-0.5580563004110206
alcohol,Describe a bar menu.,7,0.6960468146684647,0.9397896970036282,0.11992836522948931,0.2437428823351635,-0.5761184494389754
alcohol,Describe a bar menu.,8,0.884912894132644,0.9437381188672113,0.6142633243999884,0.058825224734567305,-0.2706495697326555
alcohol,Describe a bar menu.,9,0.940789292698558,0.9817274282147842,0.7124918679978595,0.04093813551622616,-0.22829742470069858
alcohol,Describe a bar menu.,10,0.8392077680405738,0.9640028360707377,0.5836823263673122,0.12479506803016382,-0.25552544167326163
alcohol,Describe a bar menu.,11,0.8798599227874675,0.9922924013083003,0.754212926764993,0.11243247852083282,-0.12564699602247453
alcohol,Describe a bar menu.,12,0.8857687463606779,0.9853565501487881,0.5280577672423424,0.09958780378811016,-0.3577109791183355
alcohol,Describe a bar menu.,13,0.9452482105889297,0.9983234770099628,0.7921308019169082,0.05307526642103311,-0.1531174086720215
alcohol,Describe a bar menu.,14,0.943465189173426,0.9987955856178056,0.736077897632779,0.05533039644437954,-0.20738729154064706
alcohol,Describe a bar menu.,15,0.9402074174365332,0.9993650100625958,0.8242715785844772,0.05915759262606257,-0.11593583885205605
