concept,layer,probe_accuracy_mean,probe_accuracy_std,probe_auc_mean,probe_auc_std,probe_f1_mean,probe_f1_std,n_positive,n_negative
alcohol,0,0.4920634920634921,0.054985739922821526,0.4753086419753087,0.01414375214492544,0.5126262626262627,0.06531574321402811,24,34
alcohol,1,0.41269841269841273,0.07273929674533079,0.46296296296296297,0.08333333333333334,0.4314574314574315,0.05972352694538202,24,34
alcohol,2,0.42857142857142855,0.047619047619047616,0.46913580246913583,0.06024451017266402,0.4342305037957212,0.07638077474100922,24,34
alcohol,3,0.6031746031746031,0.07273929674533076,0.6450617283950617,0.07541229458562104,0.6344444444444445,0.07456044031025601,24,34
alcohol,4,0.5873015873015873,0.09912695235553012,0.6666666666666666,0.1031067474598152,0.5909822866344605,0.09221023061011538,24,34
alcohol,5,0.6666666666666666,0.14285714285714288,0.7901234567901234,0.0701099795777812,0.6637022397891963,0.10594956093203166,24,34
alcohol,6,0.7142857142857143,0.09523809523809523,0.8518518518518517,0.08072035080630874,0.7045454545454546,0.06013071161510434,24,34
alcohol,7,0.746031746031746,0.0991269523555301,0.8888888888888888,0.05782405554072597,0.7391562685680332,0.0791036921718009,24,34
alcohol,8,0.746031746031746,0.11983864182969439,0.8950617283950617,0.05880419408412862,0.7405992700110348,0.09538448437243949,24,34
alcohol,9,0.7301587301587301,0.14547859349066158,0.8641975308641975,0.09274678519331311,0.7313766086144602,0.11062261148818422,24,34
alcohol,10,0.7619047619047619,0.14285714285714288,0.861111111111111,0.07911114578997717,0.7678571428571428,0.1042941396900907,24,34
alcohol,11,0.7619047619047619,0.14285714285714288,0.8611111111111112,0.07349309197401646,0.7678571428571428,0.1042941396900907,24,34
alcohol,12,0.7301587301587302,0.09912695235553012,0.8518518518518517,0.09666950471213477,0.7354497354497355,0.06009426820952673,24,34
alcohol,13,0.7619047619047619,0.19047619047619047,0.8580246913580246,0.10157088069076747,0.7705922948889702,0.16641057230650386,24,34
alcohol,14,0.7619047619047619,0.14285714285714288,0.867283950617284,0.091349682635486,0.7577561327561327,0.11937226166600153,24,34
alcohol,15,0.7301587301587302,0.1672325992516308,0.8611111111111112,0.09622504486493759,0.7416190894451763,0.1406464576727438,24,34
alcohol,16,0.6825396825396824,0.14547859349066158,0.8395061728395062,0.099006265014478,0.6868686868686869,0.09038146549582463,24,34
alcohol,17,0.6825396825396824,0.14547859349066158,0.8148148148148149,0.09666950471213469,0.6868686868686869,0.09038146549582463,24,34
alcohol,18,0.6349206349206349,0.14547859349066158,0.79320987654321,0.09502965628605335,0.65384484228474,0.08143282482096946,24,34
alcohol,19,0.6190476190476191,0.12598815766974242,0.7685185185185185,0.07911114578997717,0.6407729468599034,0.07143697653111458,24,34
alcohol,20,0.6666666666666666,0.1259881576697424,0.7777777777777778,0.10310674745981517,0.6721628045157457,0.0776684829349797,24,34
alcohol,21,0.6825396825396824,0.13746434980705372,0.8209876543209876,0.08401640486923584,0.6706349206349206,0.08935182737458493,24,34
alcohol,22,0.7301587301587301,0.054985739922821485,0.8302469135802469,0.08800356437890902,0.6984126984126983,0.054985739922821464,24,34
alcohol,23,0.746031746031746,0.027492869961410725,0.8209876543209876,0.08350462505227586,0.7095238095238096,0.048328055071867694,24,34
alcohol,24,0.7301587301587301,0.054985739922821485,0.8117283950617283,0.0972589583740045,0.6867167919799498,0.06743671201540706,24,34
alcohol,25,0.7301587301587301,0.054985739922821485,0.808641975308642,0.10199204717196485,0.6984126984126983,0.054985739922821464,24,34
alcohol,26,0.7142857142857143,0.08247860988423221,0.8024691358024691,0.10651502423911977,0.6761904761904761,0.08137146424111937,24,34
alcohol,27,0.7301587301587301,0.054985739922821485,0.8024691358024691,0.10731690525131923,0.6984126984126983,0.054985739922821464,24,34
alcohol,28,0.7142857142857143,0.0476190476190476,0.7962962962962963,0.09755234956345128,0.6868686868686869,0.03499092540543193,24,34
alcohol,29,0.6984126984126983,0.109971479845643,0.7901234567901234,0.11162432913595761,0.6666666666666666,0.09523809523809523,24,34
alcohol,30,0.7301587301587301,0.054985739922821485,0.7716049382716049,0.09725895837400447,0.6984126984126983,0.054985739922821464,24,34
alcohol,31,0.6984126984126983,0.109971479845643,0.7716049382716049,0.11200769945446946,0.6666666666666666,0.09523809523809523,24,34
alcohol,32,0.7142857142857143,0.09523809523809523,0.7808641975308642,0.10811283881566046,0.6776094276094277,0.10631083196886469,24,34
bomb,0,0.7777777777777777,0.0991269523555301,0.861111111111111,0.09119312779440845,0.7529239766081871,0.08775584034186505,24,34
bomb,1,0.873015873015873,0.11983864182969442,0.9382716049382717,0.05425430812113251,0.8534571723426212,0.134107317214567,24,34
bomb,2,0.8412698412698413,0.14547859349066158,0.9228395061728395,0.06825106292437029,0.825925925925926,0.15568777449617555,24,34
bomb,3,0.8888888888888888,0.1530738216030628,0.9506172839506174,0.06302647486624115,0.8824561403508772,0.16018802433211887,24,34
